route_id,name_tr,name_en,type_tr,type_en,start_city_tr,start_city_en,end_city_tr,end_city_en,waypoints,period_start_ce,period_end_ce,goods_tr,goods_en,dynasty_ids,significance,notes_tr,notes_en
1,İpek Yolu (Kuzey),Northern Silk Road,Kara,Land,Çin (Xi'an),China (Xi'an),Konstantinopolis,Constantinople,"34.26,108.94;39.47,75.99;39.65,66.96;37.58,61.84;36.31,59.60;33.31,44.37;41.01,28.98",200,1500,İpek;baharat;porselen;altın;kâğıt,Silk;spices;porcelain;gold;paper,89;91;106;96;145,Kritik,"Dünyanın en eski ve en önemli ticaret yolu; Sâmânîler, Selçuklular, Timurlular kontrol etti","World's oldest and most important trade route; controlled by Samanids, Seljuqs, Timurids"
2,İpek Yolu (Güney / Deniz),Maritime Silk Road,Deniz,Maritime,Guangzhou (Çin),Guangzhou (China),Basra / Sîrâf,Basra / Siraf,"23.13,113.26;1.35,103.82;6.93,79.86;9.97,76.27;23.61,58.54;30.51,47.81",700,1500,Baharat;porselen;ipek;buhur;kereste,Spices;porcelain;silk;frankincense;timber,3;54;184,Kritik,Hint Okyanusu deniz ticareti; Arap tüccarlar Çin'e kadar gitti,Indian Ocean maritime trade; Arab merchants reached China
3,Baharat Yolu,Spice Route,Deniz,Maritime,Molükler / Hindistan,Moluccas / India,İskenderiye / Venedik,Alexandria / Venice,"-0.79,127.38;9.97,76.27;12.79,45.03;30.04,31.24;45.44,12.34",1000,1600,Karanfil;tarçın;karabiber;zencefil;muskat,Cloves;cinnamon;pepper;ginger;nutmeg,49;181;184;27;30;31,Kritik,Yemen (Aden) ve Mısır kilit transit noktaları; Resûlîler ve Memlûkler büyük gelir elde etti,Yemen (Aden) and Egypt key transit points; Rasulids and Mamluks profited greatly
4,Trans-Sahra Ticaret Yolu (Batı),Western Trans-Saharan Route,Kara,Land,Timbuktu / Gao,Timbuktu / Gao,Fas / Tunus,Morocco / Tunis,"16.77,-3.01;23.50,-3.50;31.28,-4.28;34.03,-5.00",800,1600,Altın;tuz;köle;fildişi;devekuşu tüyü,Gold;salt;slaves;ivory;ostrich feathers,58;59;14;16;20,Kritik,Batı Afrika altını Akdeniz'e taşıdı; Mansa Musa'nın hacı yolculuğu altın fiyatını düşürdü,Carried West African gold to Mediterranean; Mansa Musa's hajj depressed gold prices
5,Trans-Sahra Ticaret Yolu (Orta),Central Trans-Saharan Route,Kara,Land,Kenem-Bornu,Kanem-Bornu,Trablus / Kahire,Tripoli / Cairo,"13.00,14.00;27.00,14.00;32.90,13.18;30.04,31.24",900,1800,Köle;fildişi;altın;tuz;deri,Slaves;ivory;gold;salt;leather,60;23;31,Yüksek,Fezzan üzerinden Trablus'a; Kenem-Bornu'nun ekonomik temeli,Via Fezzan to Tripoli; economic base of Kanem-Bornu
6,Hac Yolu (Şam-Mekke),Hajj Route (Damascus-Mecca),Kara,Land,Şam,Damascus,Mekke,Mecca,"33.51,36.29;32.35,36.24;29.53,35.00;28.38,36.59;26.23,36.62;24.47,39.61;21.42,39.83",630,1908,Hacılar;hediyeler;ticaret malları,Pilgrims;gifts;trade goods,2;3;28;30;31;124,Kritik,Yıllık hac kervanı; Osmanlı'nın Hicaz Demiryolu (1908) ile modernleşti,Annual hajj caravan; modernized with Ottoman Hejaz Railway (1908)
7,Hac Yolu (Mısır-Mekke),Hajj Route (Egypt-Mecca),Kara/Deniz,Land/Maritime,Kahire,Cairo,Mekke,Mecca,"30.04,31.24;28.00,33.87;26.56,36.55;24.47,39.61;21.42,39.83",640,1900,Hacılar;hediyeler;Mısır tekstili,Pilgrims;gifts;Egyptian textiles,27;28;30;31;124,Kritik,Kızıldeniz kıyısı veya Sina üzerinden; Memlûk ve Osmanlı koruması,Via Red Sea coast or Sinai; Mamluk and Ottoman protection
8,Doğu Afrika Sahil Ticareti,East African Coastal Trade,Deniz,Maritime,Mogadişu,Mogadishu,Sofala (Mozambik),Sofala (Mozambique),"2.05,45.32;-2.08,41.05;-4.05,39.67;-6.16,39.19;-8.96,39.52;-20.15,34.74",800,1500,Altın;fildişi;köle;baharat;porselen,Gold;ivory;slaves;spices;porcelain,62;63;64;65,Yüksek,"Svahili şehir devletleri; Kilwa, Pate, Mombasa, Zengibar; Hint Okyanusu ağına bağlantı","Swahili city-states; Kilwa, Pate, Mombasa, Zanzibar; connection to Indian Ocean network"
9,Horasan Yolu (Bağdat-Semerkant),Khorasan Road,Kara,Land,Bağdat,Baghdad,Semerkant,Samarkand,"33.31,44.37;34.31,47.42;35.28,59.49;36.31,59.60;37.58,61.84;39.65,66.96",750,1500,İpek;kereste;at;meyve;madencilik ürünleri,Silk;timber;horses;fruit;mining products,3;89;91;96;106,Kritik,Abbâsî İmparatorluğu'nun ana arterı; Horasan orduları bu yoldan geldi,Main artery of Abbasid Empire; Khorasan armies came this way
10,Hint Okyanusu Ticaret Ağı,Indian Ocean Trade Network,Deniz,Maritime,Basra/Sîrâf,Basra/Siraf,Malakka/Guangzhou,Malacca/Guangzhou,"30.51,47.81;23.61,58.54;9.97,76.27;6.93,79.86;2.20,102.25;23.13,113.26",700,1500,Baharat;porselen;ipek;kereste;değerli taşlar,Spices;porcelain;silk;timber;gems,3;54;181;184,Kritik,İslam tüccarları Hint Okyanusu'nun hakimleri; muson rüzgarları kullanıldı,Muslim merchants dominated Indian Ocean; monsoon winds utilized
11,Altın Yolu (Gana-Mısır),Gold Road (Ghana-Egypt),Kara,Land,Gana/Wangara,Ghana/Wangara,Kahire,Cairo,"14.00,-10.00;16.77,-3.01;23.50,0.00;27.18,31.17;30.04,31.24",800,1400,Altın;tuz;bakır,Gold;salt;copper,58;27;30,Yüksek,Batı Afrika altını Mısır'a; Fâtımî ve Memlûk para basımının kaynağı,West African gold to Egypt; source for Fatimid and Mamluk coinage
12,Karadeniz-İran İpek Yolu,Black Sea-Iran Silk Route,Kara,Land,Trabzon,Trebizond,Tebriz / İsfahan,Tabriz / Isfahan,"41.00,39.72;39.77,44.79;38.08,46.29;32.66,51.68",1200,1600,İpek;baharat;at;yün;halı,Silk;spices;horses;wool;carpets,99;137;107;124,Yüksek,İlhanlı ve Safevî döneminde Tebriz dünyanın en büyük ticaret merkezlerinden,Tabriz one of world's largest trading centers during Ilkhanid and Safavid periods
13,Kızıldeniz-Aden Ticaret Yolu,Red Sea-Aden Trade Route,Deniz,Maritime,Aden,Aden,Cidde / Kahire,Jeddah / Cairo,"12.79,45.03;15.63,42.00;21.49,39.19;30.04,31.24",900,1600,Baharat;kahve;buhur;parfüm,Spices;coffee;frankincense;perfume,46;49;30;31;124,Yüksek,Aden stratejik geçiş noktası; Resûlîler ve Memlûkler gümrük geliri,Aden strategic transit point; Rasulids and Mamluks collected customs revenue
14,Volga-Hazar Ticaret Yolu,Volga-Caspian Trade Route,Nehir/Kara,River/Land,Bulgar (İtil),Bulgar (Volga),Bağdat / Rey,Baghdad / Ray,"54.97,49.05;46.35,48.04;42.06,48.30;36.27,50.00;33.31,44.37",800,1250,Kürk;bal;balmumu;köle;kehribar,Fur;honey;wax;slaves;amber,3;72;139,Yüksek,Kuzey ürünleri güneye; İslam gümüş sikkeleri kuzeye (Vikingler dahil),Northern products south; Islamic silver coins north (including to Vikings)
15,Sind-Gücerat Deniz Yolu,Sind-Gujarat Maritime Route,Deniz,Maritime,Deybül (Sind),Daybul (Sind),Kanbay (Cambay),Cambay (Gujarat),"24.82,67.01;22.32,69.67;21.18,72.83",711,1500,Baharat;tekstil;at;değerli taşlar,Spices;textiles;horses;gems,154;155;167;178,Yüksek,Arap tüccarların Güney Asya'ya giriş noktası; İslam'ın yayılma kanalı,Entry point of Arab merchants to South Asia; channel of Islamic expansion
